Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:08:17.023,0.400142,0.591564,0.652542,1498.456245,-1.386109,-1.24785,-1.078568,24.961271,1.999,5178.18,86.30300000000001
2021-12-07 12:08:19.024,0.399829,0.590201,0.651068,1496.471311,-1.389062,-1.244634,-1.077846,24.965537,2.001,5180.181,86.33635
2021-12-07 12:08:21.024,0.399262,0.589253,0.651118,1495.339757,-1.382959,-1.227834,-1.06426,24.966194,2.0,5182.181,86.36968333333333
2021-12-07 12:08:23.024,0.399548,0.589445,0.650649,1494.432157,-1.395887,-1.240697,-1.064063,24.973282,2.0,5184.181,86.40301666666666
2021-12-07 12:08:25.024,0.400462,0.590306,0.651568,1494.132766,-1.404287,-1.245159,-1.062422,24.975317,2.0,5186.181,86.43634999999999
2021-12-07 12:08:27.024,0.399958,0.590191,0.652101,1496.968723,-1.389259,-1.232559,-1.061504,24.968491,2.0,5188.181,86.46968333333332
2021-12-07 12:08:29.024,0.399071,0.589288,0.651035,1495.005006,-1.400875,-1.237481,-1.063472,24.9679,2.0,5190.181,86.50301666666665
2021-12-07 12:08:31.023,0.39988,0.590545,0.651809,1495.049463,-1.392108,-1.243039,-1.071292,24.973593,1.999,5192.18,86.53633333333333
2021-12-07 12:08:33.022,0.399837,0.590584,0.651362,1497.435489,-1.406321,-1.246013,-1.074105,24.972626,1.999,5194.179,86.56965
2021-12-07 12:08:35.023,0.400065,0.59008,0.651237,1496.079982,-1.401662,-1.239844,-1.070101,24.981421,2.001,5196.18,86.60300000000001
2021-12-07 12:08:37.024,0.399778,0.5908,0.651971,1496.569896,-1.409502,-1.241375,-1.079866,24.979992,2.001,5198.181,86.63635
2021-12-07 12:08:39.023,0.400417,0.590857,0.651945,1496.711766,-1.402253,-1.243256,-1.07883,24.993695,1.999,5200.18,86.66966666666667
2021-12-07 12:08:41.022,0.399431,0.589891,0.651004,1496.50235,-1.412659,-1.247438,-1.086066,24.99198,1.999,5202.179,86.70298333333334
2021-12-07 12:08:43.023,0.400142,0.590422,0.651449,1495.323255,-1.395559,-1.243519,-1.08408,24.999734,2.001,5204.18,86.73633333333333
2021-12-07 12:08:45.022,0.399816,0.590317,0.651995,1497.376554,-1.423515,-1.233871,-1.083818,24.989101,1.999,5206.179,86.76965
2021-12-07 12:08:47.023,0.40021,0.591569,0.653213,1496.355798,-1.384797,-1.251394,-1.090119,24.996912,2.001,5208.18,86.80300000000001
2021-12-07 12:08:49.022,0.399443,0.590464,0.65194,1497.883396,-1.395953,-1.234134,-1.089922,24.999603,1.999,5210.179,86.83631666666666
2021-12-07 12:08:51.023,0.400409,0.591272,0.652009,1496.021047,-1.399234,-1.248769,-1.098585,24.998487,2.001,5212.18,86.86966666666667
