Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:45:50.498,0.192248,0.002685,0.026443,402.800801,21.65715,-1.283289,0.131203,0.484632,2.0
2021-08-21 11:45:52.498,0.192264,0.002711,0.026406,401.980424,21.654919,-1.295627,0.123984,0.483057,2.0
2021-08-21 11:45:54.498,0.192794,0.002645,0.026553,403.012967,21.654853,-1.285979,0.108364,0.484632,2.0
2021-08-21 11:45:56.498,0.192138,0.002672,0.026213,401.982782,21.658659,-1.289392,0.125559,0.486864,2.0
2021-08-21 11:45:58.497,0.19234,0.002582,0.026178,402.376716,21.654078,-1.30141,0.114132,0.485367,1.999
2021-08-21 11:46:00.498,0.192185,0.002549,0.026488,401.82722,21.653332,-1.292735,0.118017,0.487835,2.001
2021-08-21 11:46:02.498,0.192728,0.002596,0.026503,402.060576,21.650588,-1.281386,0.112105,0.484632,2.0
2021-08-21 11:46:04.497,0.193272,0.002606,0.026554,402.895604,21.651386,-1.292612,0.128118,0.48425,1.999
2021-08-21 11:46:06.497,0.192127,0.002577,0.026319,402.616923,21.654985,-1.309933,0.1251,0.49159,2.0
2021-08-21 11:46:08.498,0.192358,0.002651,0.026368,401.791877,21.647363,-1.288931,0.1211,0.486392,2.001
2021-08-21 11:46:10.497,0.192836,0.002711,0.026486,402.631443,21.646199,-1.289197,0.120895,0.489701,1.999
2021-08-21 11:46:12.497,0.193028,0.002803,0.02648,402.678216,21.646716,-1.29018,0.126872,0.489752,2.0
2021-08-21 11:46:14.497,0.192434,0.00269,0.026333,401.890843,21.642122,-1.303699,0.118931,0.490146,2.0
2021-08-21 11:46:16.497,0.192634,0.002614,0.026549,402.0205,21.646453,-1.286176,0.105082,0.490671,2.0
2021-08-21 11:46:18.497,0.19256,0.002735,0.026356,403.194487,21.644025,-1.291558,0.11473,0.496119,2.0
2021-08-21 11:46:20.495,0.192818,0.002708,0.02633,403.792822,21.638981,-1.290054,0.152491,0.48827,1.998
2021-08-21 11:46:22.497,0.192324,0.002452,0.026551,402.025071,21.643356,-1.287355,0.12812,0.493133,2.002
2021-08-21 11:46:24.495,0.191541,0.002519,0.02628,402.103231,21.64128,-1.28736,0.12641,0.492343,1.998
2021-08-21 11:46:26.497,0.192843,0.002581,0.026785,401.876703,21.643946,-1.281454,0.123792,0.495625,2.002
2021-08-21 11:46:28.495,0.19245,0.002597,0.026514,403.070734,21.642003,-1.303915,0.115307,0.494906,1.998
2021-08-21 11:46:30.495,0.192841,0.002443,0.026484,402.343464,21.635953,-1.295299,0.137767,0.494412,2.0
2021-08-21 11:46:32.495,0.192182,0.002519,0.026553,402.310461,21.636085,-1.284142,0.127922,0.497432,2.0
