Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:20,902;385,379584;0,116753;0,129887;0,16925;-0,06792;-2,493326;-0,02456;24,011574
19:01:20,912;386,322546;0,112028;0,126736;0,171087;-0,343569;-2,690199;-0,300194;24,142847
19:01:20,922;386,322546;0,108352;0,120961;0,172006;-0,06792;-2,545825;-0,077062;24,07721
19:01:20,932;383,965142;0,109927;0,120961;0,167413;-0,343569;-2,965822;-0,405198;24,090338
19:01:20,942;386,794027;0,107827;0,120961;0,172006;-0,06792;-2,401452;-0,050811;24,050956
19:01:20,952;385,851065;0,109402;0,118336;0,170169;-0,317317;-2,729574;-0,33957;24,064083
19:01:20,962;385,379584;0,107827;0,126736;0,168331;-0,06792;-2,414576;-0,02456;24,116592
19:01:20,972;384,436622;0,104677;0,122011;0,168331;-0,343569;-2,978947;-0,405198;24,103465
19:01:20,982;383,493661;0,112028;0,128837;0,168331;-0,041668;-2,427701;-0,02456;24,142847
19:01:20,992;386,794027;0,105727;0,118861;0,172925;-0,317317;-2,66395;-0,326445;24,116592
19:01:21,002;386,322546;0,107827;0,117811;0,166494;-0,06792;-2,519576;-0,050811;24,090338
19:01:21,012;386,322546;0,108352;0,121486;0,16925;-0,304191;-2,834573;-0,33957;24,103465
19:01:21,022;384,908103;0,107302;0,120436;0,166494;-0,06792;-2,61145;-0,063936;24,116592
19:01:21,032;387,265507;0,112028;0,124636;0,172925;-0,330443;-2,677075;-0,326445;24,064083
19:01:21,042;385,379584;0,108877;0,122536;0,168331;-0,06792;-2,493326;-0,116438;24,037828
19:01:21,052;385,851065;0,110452;0,127261;0,168331;-0,317317;-2,978947;-0,365821;24,116592
19:01:21,062;388,208469;0,108352;0,119911;0,16925;-0,041668;-2,401452;-0,063936;24,064083
19:01:21,072;388,67995;0,108877;0,124636;0,174762;-0,291065;-2,690199;-0,326445;24,037828
19:01:21,082;386,322546;0,112028;0,128312;0,167413;-0,081046;-2,401452;-0,037685;24,037828
19:01:21,092;387,265507;0,107302;0,123061;0,170169;-0,291065;-2,808324;-0,33957;24,195356
19:01:21,102;388,67995;0,108877;0,127787;0,172006;-0,094172;-2,55895;-0,063936;24,090338
19:01:21,112;383,02218;0,109402;0,127787;0,168331;-0,277938;-2,768949;-0,392072;24,12972
19:01:21,122;388,208469;0,108877;0,123061;0,171087;-0,054794;-2,506451;-0,155814;24,142847
19:01:21,132;385,379584;0,106777;0,117811;0,167413;-0,291065;-2,887073;-0,31332;24,103465
19:01:21,142;385,851065;0,113078;0,126736;0,168331;-0,081046;-2,506451;-0,037685;24,07721
19:01:21,152;383,965142;0,104677;0,121486;0,171087;-0,304191;-2,703324;-0,287069;24,064083
19:01:21,162;384,908103;0,109927;0,119911;0,166494;-0,015416;-2,572075;-0,077062;24,12972
19:01:21,172;385,851065;0,109927;0,122536;0,167413;-0,343569;-2,782074;-0,326445;24,116592
19:01:21,182;385,851065;0,109927;0,122011;0,173844;-0,081046;-2,519576;-0,077062;24,116592
19:01:21,192;379,721814;0,110452;0,124111;0,172006;-0,330443;-2,808324;-0,326445;24,116592
19:01:21,202;387,265507;0,108877;0,127261;0,163738;-0,054794;-2,506451;-0,063936;24,103465
19:01:21,212;384,908103;0,105727;0,122536;0,172006;-0,330443;-2,808324;-0,287069;24,090338
19:01:21,222;387,265507;0,108877;0,126211;0,172925;-0,041668;-2,519576;-0,090187;24,07721
19:01:21,232;386,794027;0,107827;0,124636;0,16925;-0,317317;-2,729574;-0,300194;24,155974
